date,location,cases,deaths,recoveries
2020/04/03 21:40,Brazil,9194,363,127
2020/04/03 22:00,Brazil,9194,363,127
2020/04/03 22:20,Brazil,9194,363,127
2020/04/03 22:40,Brazil,9194,363,127
2020/04/03 23:00,Brazil,9194,363,127
2020/04/03 23:20,Brazil,9194,363,127
2020/04/04 11:40,Brazil,9216,365,127
2020/04/04 12:00,Brazil,9216,365,127
2020/04/04 12:20,Brazil,9244,366,127
2020/04/04 12:40,Brazil,9244,366,127
2020/04/04 13:00,Brazil,9391,376,127
2020/04/04 13:20,Brazil,9391,376,127
2020/04/04 13:40,Brazil,9391,376,127
2020/04/04 14:00,Brazil,9391,376,127
2020/04/04 14:20,Brazil,9391,376,127
2020/04/04 14:40,Brazil,9391,376,127
2020/04/04 15:00,Brazil,9391,376,127
2020/04/04 15:20,Brazil,9391,376,127
2020/04/04 15:40,Brazil,9391,376,127
2020/04/04 16:00,Brazil,9391,376,127
2020/04/04 16:20,Brazil,9391,376,127
2020/04/04 16:40,Brazil,9391,376,127
2020/04/04 17:00,Brazil,10278,431,127
2020/04/04 17:20,Brazil,10278,431,127
2020/04/04 17:40,Brazil,10278,431,127
2020/04/04 18:00,Brazil,10278,431,127
2020/04/04 18:20,Brazil,10278,431,127
2020/04/04 18:40,Brazil,10278,431,127
2020/04/04 19:00,Brazil,10278,431,127
2020/04/04 19:20,Brazil,10278,431,127
2020/04/04 19:40,Brazil,10278,431,127
2020/04/04 20:00,Brazil,10323,439,127
2020/04/04 20:20,Brazil,10360,445,127
2020/04/04 20:40,Brazil,10360,445,127
2020/04/04 21:00,Brazil,10360,445,127
2020/04/04 21:20,Brazil,10360,445,127
2020/04/04 21:40,Brazil,10360,445,127
2020/04/04 22:00,Brazil,10360,445,127
2020/04/04 22:20,Brazil,10360,445,127
2020/04/04 22:40,Brazil,10360,445,127
2020/04/04 23:00,Brazil,10360,445,127
2020/04/04 23:20,Brazil,10360,445,127
2020/04/04 23:40,Brazil,10360,445,127
2020/04/05 00:00,Brazil,10360,445,127
2020/04/05 00:20,Brazil,10360,445,127
2020/04/05 00:40,Brazil,10360,445,127
2020/04/05 01:00,Brazil,10360,445,127
2020/04/05 01:20,Brazil,10360,445,127
2020/04/05 01:40,Brazil,10360,445,127
2020/04/05 02:00,Brazil,10360,445,127
2020/04/05 02:20,Brazil,10360,445,127
2020/04/05 02:40,Brazil,10360,445,127
2020/04/05 03:00,Brazil,10360,445,127
2020/04/05 03:20,Brazil,10360,445,127
2020/04/05 03:40,Brazil,10360,445,127
2020/04/05 04:00,Brazil,10360,445,127
2020/04/05 04:20,Brazil,10360,445,127
2020/04/05 04:40,Brazil,10360,445,127
2020/04/05 05:00,Brazil,10360,445,127
2020/04/05 05:20,Brazil,10360,445,127
2020/04/05 05:40,Brazil,10360,445,127
2020/04/05 06:00,Brazil,10360,445,127
2020/04/05 06:20,Brazil,10360,445,127
2020/04/05 06:40,Brazil,10360,445,127
2020/04/05 07:00,Brazil,10360,445,127
2020/04/05 07:20,Brazil,10360,445,127
2020/04/05 07:40,Brazil,10360,445,127
2020/04/05 08:00,Brazil,10360,445,127
2020/04/05 08:20,Brazil,10360,445,127
2020/04/05 08:40,Brazil,10360,445,127
2020/04/05 09:00,Brazil,10360,445,127
2020/04/05 09:20,Brazil,10360,445,127
2020/04/05 09:40,Brazil,10360,445,127
2020/04/05 10:00,Brazil,10360,445,127
2020/04/05 10:20,Brazil,10360,445,127
2020/04/05 10:40,Brazil,10360,445,127
2020/04/05 11:00,Brazil,10360,445,127
2020/04/05 11:20,Brazil,10360,445,127
2020/04/05 11:40,Brazil,10431,446,127
2020/04/05 12:00,Brazil,10431,446,127
2020/04/05 12:20,Brazil,10475,448,127
2020/04/05 13:03,Brazil,10475,448,127
2020/04/05 13:20,Brazil,10475,448,127
2020/04/05 13:40,Brazil,10475,448,127
2020/04/05 14:00,Brazil,10475,448,127
2020/04/05 14:20,Brazil,10568,455,127
2020/04/05 14:40,Brazil,10568,455,127
2020/04/05 15:00,Brazil,10568,455,127
2020/04/05 15:20,Brazil,10568,455,127
2020/04/05 15:40,Brazil,10568,455,127
2020/04/05 16:00,Brazil,10568,455,127
2020/04/05 16:20,Brazil,10568,455,127
2020/04/05 16:40,Brazil,10627,460,127
2020/04/05 17:00,Brazil,10627,460,127
2020/04/05 17:20,Brazil,10627,460,127
2020/04/05 17:40,Brazil,11130,486,127
2020/04/05 18:00,Brazil,11130,486,127
2020/04/05 18:20,Brazil,11130,486,127
2020/04/05 18:40,Brazil,11130,486,127
2020/04/05 19:00,Brazil,11130,486,127
2020/04/05 19:20,Brazil,11130,486,127
2020/04/05 19:40,Brazil,11130,486,127
2020/04/05 20:00,Brazil,11130,486,127
2020/04/05 20:20,Brazil,11130,486,127
2020/04/05 20:40,Brazil,11130,486,127
2020/04/05 21:00,Brazil,11254,486,127
2020/04/05 21:20,Brazil,11254,486,127
2020/04/05 21:40,Brazil,11254,486,127
2020/04/05 22:00,Brazil,11254,486,127
2020/04/05 22:20,Brazil,11281,487,127
2020/04/05 22:40,Brazil,11281,487,127
2020/04/05 23:00,Brazil,11281,487,127
2020/04/05 23:20,Brazil,11281,487,127
2020/04/05 23:40,Brazil,11281,487,127
2020/04/06 00:00,Brazil,11281,487,127
2020/04/06 00:20,Brazil,11281,487,127
2020/04/06 00:40,Brazil,11281,487,127
2020/04/06 01:00,Brazil,11281,487,127
2020/04/06 01:20,Brazil,11281,487,127
2020/04/06 01:40,Brazil,11281,487,127
2020/04/06 02:00,Brazil,11281,487,127
2020/04/06 02:20,Brazil,11281,487,127
2020/04/06 02:40,Brazil,11281,487,127
2020/04/06 03:00,Brazil,11281,487,127
2020/04/06 03:20,Brazil,11281,487,127
2020/04/06 03:40,Brazil,11281,487,127
2020/04/06 04:00,Brazil,11281,487,127
2020/04/06 04:20,Brazil,11281,487,127
2020/04/06 04:40,Brazil,11281,487,127
2020/04/06 05:00,Brazil,11281,487,127
2020/04/06 05:20,Brazil,11281,487,127
2020/04/06 05:40,Brazil,11281,487,127
2020/04/06 06:00,Brazil,11281,487,127
2020/04/06 06:20,Brazil,11281,487,127
2020/04/06 06:40,Brazil,11281,487,127
2020/04/06 07:00,Brazil,11281,487,127
2020/04/06 07:20,Brazil,11281,487,127
2020/04/06 07:40,Brazil,11281,487,127
2020/04/06 08:00,Brazil,11281,487,127
2020/04/06 08:20,Brazil,11281,487,127
2020/04/06 08:40,Brazil,11281,487,127
2020/04/06 09:00,Brazil,11281,487,127
2020/04/06 09:20,Brazil,11298,489,127
2020/04/06 09:40,Brazil,11298,489,127
2020/04/06 10:00,Brazil,11298,489,127
2020/04/06 10:20,Brazil,11298,489,127
2020/04/06 10:40,Brazil,11298,489,127
2020/04/06 11:00,Brazil,11450,491,127
2020/04/06 11:40,Brazil,11450,491,127
2020/04/06 12:00,Brazil,11477,495,127
2020/04/06 12:20,Brazil,11494,495,127
2020/04/06 12:40,Brazil,11494,495,127
2020/04/06 13:00,Brazil,11494,495,127
2020/04/06 13:20,Brazil,11516,506,127
