date,location,cases,deaths,recoveries
2020/04/03 21:40,World,1097810,59140,228405
2020/04/03 22:00,World,1098006,59141,228405
2020/04/03 22:20,World,1098006,59141,228405
2020/04/03 22:40,World,1098107,59145,228589
2020/04/03 23:00,World,1098390,59159,228923
2020/04/03 23:20,World,1098434,59160,228923
2020/04/04 11:40,World,1141378,61205,238498
2020/04/04 12:00,World,1142294,61239,238525
2020/04/04 12:20,World,1153016,61628,240120
2020/04/04 12:40,World,1153287,61663,240194
2020/04/04 13:00,World,1154449,61684,240201
2020/04/04 13:20,World,1159953,62399,241630
2020/04/04 13:40,World,1162269,62444,241707
2020/04/04 14:00,World,1167063,62691,241742
2020/04/04 14:20,World,1169478,62735,241774
2020/04/04 14:40,World,1172889,62829,242100
2020/04/04 15:00,World,1180952,63893,243871
2020/04/04 15:20,World,1182398,63913,243871
2020/04/04 15:40,World,1182827,63924,244224
2020/04/04 16:00,World,1182878,63927,244272
2020/04/04 16:20,World,1188487,64103,244448
2020/04/04 16:40,World,1188489,64103,246032
2020/04/04 17:00,World,1192619,64227,246063
2020/04/04 17:20,World,1192677,64231,246099
2020/04/04 17:40,World,1193406,64274,246110
2020/04/04 18:00,World,1193655,64277,246110
2020/04/04 18:20,World,1193868,64387,246110
2020/04/04 18:40,World,1195370,64518,246110
2020/04/04 19:00,World,1196097,64546,246110
2020/04/04 19:20,World,1196944,64577,246110
2020/04/04 19:40,World,1197038,64583,246115
2020/04/04 20:00,World,1198811,64636,246165
2020/04/04 20:20,World,1199064,64650,246166
2020/04/04 20:40,World,1199174,64661,246174
2020/04/04 21:00,World,1200300,64667,246174
2020/04/04 21:20,World,1200372,64675,246174
2020/04/04 21:40,World,1201443,64675,246174
2020/04/04 22:00,World,1201473,64691,246383
2020/04/04 22:20,World,1201476,64691,246467
2020/04/04 22:40,World,1201767,64710,246496
2020/04/04 23:00,World,1201933,64716,246634
2020/04/04 23:20,World,1201933,64716,246634
2020/04/04 23:40,World,1201933,64720,246634
2020/04/05 00:00,World,1201964,64727,246638
2020/04/05 00:20,World,1201964,64727,246638
2020/04/05 00:40,World,1202242,64729,246638
2020/04/05 01:00,World,1202433,64729,246638
2020/04/05 01:20,World,1202435,64729,246638
2020/04/05 01:40,World,1202435,64729,246638
2020/04/05 02:00,World,1202543,64732,246638
2020/04/05 02:20,World,1202715,64734,246648
2020/04/05 02:40,World,1202715,64734,246648
2020/04/05 03:00,World,1203058,64743,246753
2020/04/05 03:20,World,1203130,64744,246757
2020/04/05 03:40,World,1203140,64744,246760
2020/04/05 04:00,World,1203188,64747,246760
2020/04/05 04:20,World,1203292,64747,246798
2020/04/05 04:40,World,1203428,64754,246803
2020/04/05 05:00,World,1203460,64772,247294
2020/04/05 05:20,World,1203932,64787,247301
2020/04/05 05:40,World,1203966,64788,247302
2020/04/05 06:00,World,1204075,64797,247340
2020/04/05 06:20,World,1205791,64973,247954
2020/04/05 06:40,World,1205802,64975,247961
2020/04/05 07:00,World,1212922,65600,251822
2020/04/05 07:20,World,1213194,65600,253597
2020/04/05 07:40,World,1213869,65603,253621
2020/04/05 08:00,World,1214487,65605,253626
2020/04/05 08:20,World,1215687,65659,253684
2020/04/05 08:40,World,1215926,65663,253689
2020/04/05 09:00,World,1215940,65666,253694
2020/04/05 09:20,World,1216493,65716,253698
2020/04/05 09:40,World,1218087,65834,253744
2020/04/05 10:00,World,1218114,65841,253818
2020/04/05 10:20,World,1218707,65872,253821
2020/04/05 10:40,World,1224913,66497,253821
2020/04/05 11:00,World,1224940,66502,253823
2020/04/05 11:20,World,1225521,66516,253855
2020/04/05 11:40,World,1225728,66520,253864
2020/04/05 12:00,World,1226522,66548,253864
2020/04/05 12:20,World,1235728,67195,255589
2020/04/05 13:03,World,1243052,67807,256467
2020/04/05 13:20,World,1245192,67910,256496
2020/04/05 13:40,World,1245250,67911,256503
2020/04/05 14:00,World,1245741,67928,256760
2020/04/05 14:20,World,1252982,68150,257139
2020/04/05 14:40,World,1253072,68154,257202
2020/04/05 15:00,World,1254352,68178,257244
2020/04/05 15:20,World,1254464,68184,259544
2020/04/05 15:40,World,1258091,68287,259554
2020/04/05 16:00,World,1259767,68418,259637
2020/04/05 16:20,World,1259960,68421,259940
2020/04/05 16:40,World,1261177,68468,260036
2020/04/05 17:00,World,1262304,68492,260307
2020/04/05 17:20,World,1263061,68524,260222
2020/04/05 17:40,World,1266613,69169,260967
2020/04/05 18:00,World,1266771,69177,261126
2020/04/05 18:20,World,1266782,69177,261132
2020/04/05 18:40,World,1267577,69299,261134
2020/04/05 19:00,World,1268526,69321,261134
2020/04/05 19:20,World,1268851,69330,261200
2020/04/05 19:40,World,1269240,69346,261200
2020/04/05 20:00,World,1269313,69346,261207
2020/04/05 20:20,World,1270853,69380,261316
2020/04/05 20:40,World,1271679,69401,261424
2020/04/05 21:00,World,1272514,69413,261485
2020/04/05 21:20,World,1272737,69418,261485
2020/04/05 21:40,World,1272860,69424,261835
2020/04/05 22:00,World,1272860,69424,262217
2020/04/05 22:20,World,1272953,69428,262331
2020/04/05 22:40,World,1272953,69428,262331
2020/04/05 23:00,World,1273499,69451,262351
2020/04/05 23:20,World,1273505,69451,262351
2020/04/05 23:40,World,1273709,69456,262486
2020/04/06 00:00,World,1273709,69456,262486
2020/04/06 00:20,World,1273709,69456,262486
2020/04/06 00:40,World,1273712,69458,262486
2020/04/06 01:00,World,1273720,69459,262486
2020/04/06 01:20,World,1273833,69461,264761
2020/04/06 01:40,World,1274022,69468,264833
2020/04/06 02:00,World,1274265,69471,264834
2020/04/06 02:20,World,1274346,69479,264838
2020/04/06 02:40,World,1274346,69480,264838
2020/04/06 03:00,World,1274543,69487,264838
2020/04/06 03:20,World,1274589,69488,264840
